DIABETES,HIPERTENSION,death_rate,n,features,combo,OBESITY,COPD,ASTHMA,CARDIOVASCULAR,RENAL_CHRONIC,INMSUPR,TOBACCO,OTHER_DISEASE
0.0,,0.09893810461218754,319523,DIABETES + OTHER_DISEASE,0_0,,,,,,,,0.0
0.0,,0.0989081925901098,322218,DIABETES + CARDIOVASCULAR,0_0,,,,0.0,,,,
0.0,,0.09865174303081245,323603,DIABETES + COPD,0_0,,0.0,,,,,,
,,0.09862362610159421,10099,ASTHMA + RENAL_CHRONIC,1_0,,,1.0,,0.0,,,
,,0.09809045226130653,9950,ASTHMA + CARDIOVASCULAR,1_0,,,1.0,0.0,,,,
,0.0,0.09798214150934109,304729,HIPERTENSION + ASTHMA,0_0,,,0.0,,,,,
,0.0,0.09662170549050436,290028,HIPERTENSION + TOBACCO,0_0,,,,,,,0.0,
,0.0,0.09577341034487215,309564,HIPERTENSION + INMSUPR,0_0,,,,,,0.0,,
,0.0,0.09569970327176815,309374,HIPERTENSION + CARDIOVASCULAR,0_0,,,,0.0,,,,
,,0.09544994944388271,9890,COPD + ASTHMA,0_1,,0.0,1.0,,,,,
,0.0,0.0952354844015571,310063,HIPERTENSION + RENAL_CHRONIC,0_0,,,,,0.0,,,
,0.0,0.09497946531338286,305824,HIPERTENSION + OTHER_DISEASE,0_0,,,,,,,,0.0
,0.0,0.09474075030670885,309740,HIPERTENSION + COPD,0_0,,0.0,,,,,,
0.0,,0.09423210460762954,272179,DIABETES + OBESITY,0_0,0.0,,,,,,,
,0.0,0.09110901307732265,263739,HIPERTENSION + OBESITY,0_0,0.0,,,,,,,
,,0.08673609208002192,7298,OBESITY + ASTHMA,0_1,0.0,,1.0,,,,,
0.0,0.0,0.08015957971239032,283996,DIABETES + HIPERTENSION,0_0,,,,,,,,
0.0,,0.07633410672853828,8620,DIABETES + ASTHMA,0_1,,,1.0,,,,,
,0.0,0.06861387385118972,7943,HIPERTENSION + ASTHMA,0_1,,,1.0,,,,,
