DIABETES,HIPERTENSION,OBESITY,death_rate,n,features,combo,COPD,ASTHMA,CARDIOVASCULAR,RENAL_CHRONIC,INMSUPR,TOBACCO,OTHER_DISEASE
1.0,,,0.4079386257505003,2998,DIABETES + COPD + CARDIOVASCULAR,1_0_1,0.0,,1.0,,,,
,,1.0,0.40660736975857686,1574,OBESITY + COPD + ASTHMA,1_1_0,1.0,0.0,,,,,
,,,0.40652173913043477,5060,COPD + CARDIOVASCULAR + INMSUPR,1_0_0,1.0,,0.0,,0.0,,
,1.0,,0.40620592383638926,1418,HIPERTENSION + INMSUPR + TOBACCO,1_1_0,,,,,1.0,0.0,
,,,0.405982905982906,234,COPD + INMSUPR + TOBACCO,1_1_0,1.0,,,,1.0,0.0,
1.0,,1.0,0.40521872601688413,1303,DIABETES + OBESITY + CARDIOVASCULAR,1_1_1,,,1.0,,,,
,,,0.40454843647496175,4573,COPD + TOBACCO + OTHER_DISEASE,1_0_0,1.0,,,,,0.0,0.0
,,,0.4043787425149701,5344,COPD + RENAL_CHRONIC + INMSUPR,1_0_0,1.0,,,0.0,0.0,,
,,1.0,0.40284005979073245,1338,OBESITY + COPD + TOBACCO,1_1_0,1.0,,,,,0.0,
,1.0,,0.4027830011282437,2659,HIPERTENSION + RENAL_CHRONIC + OTHER_DISEASE,1_0_1,,,,0.0,,,1.0
,,,0.4024390243902439,164,ASTHMA + RENAL_CHRONIC + INMSUPR,1_1_0,,1.0,,1.0,0.0,,
1.0,1.0,,0.4020771513353116,2696,DIABETES + HIPERTENSION + TOBACCO,1_1_1,,,,,,1.0,
,1.0,,0.40156830375567476,4846,HIPERTENSION + ASTHMA + CARDIOVASCULAR,1_0_1,,0.0,1.0,,,,
0.0,,,0.4012158054711246,329,DIABETES + CARDIOVASCULAR + RENAL_CHRONIC,0_1_1,,,1.0,1.0,,,
,,,0.40092915214866437,4305,COPD + CARDIOVASCULAR + TOBACCO,1_0_0,1.0,,0.0,,,0.0,
,,,0.4007076514816453,4522,COPD + RENAL_CHRONIC + TOBACCO,1_0_0,1.0,,,0.0,,0.0,
,1.0,,0.4006514657980456,307,HIPERTENSION + CARDIOVASCULAR + INMSUPR,1_1_1,,,1.0,,1.0,,
,1.0,,0.40063091482649843,317,HIPERTENSION + INMSUPR + OTHER_DISEASE,1_1_1,,,,,1.0,,1.0
,,1.0,0.40061162079510704,327,OBESITY + COPD + CARDIOVASCULAR,1_1_1,1.0,,1.0,,,,
,,,0.3998803350618269,5014,COPD + CARDIOVASCULAR + OTHER_DISEASE,1_0_0,1.0,,0.0,,,,0.0
1.0,,1.0,0.39961759082217974,523,DIABETES + OBESITY + INMSUPR,1_1_1,,,,,1.0,,
,,,0.399584356697525,5293,COPD + RENAL_CHRONIC + OTHER_DISEASE,1_0_0,1.0,,,0.0,,,0.0
